ID,Name,Switch,Controller,Battery
1,Texas@OldHearne&Sims,10.105.0.178,10.105.0.179,10.105.0.182
2,Texas@Hwy21,10.105.0.146,10.105.0.148,10.105.0.150
3,Texas@MLK,10.105.0.194,10.105.0.195,10.105.0.197
4,Texas@23rd,10.105.0.34,10.105.0.35,10.105.0.37
5,Texas@WJB,10.105.2.2,10.105.2.3,10.105.2.6
6,Texas@27th,10.105.0.162,10.105.0.163,10.105.0.164
7,Texas@29th,10.105.0.210,10.105.0.211,10.105.0.215
8,Texas@Coulter,10.105.2.18,10.105.2.19,10.105.2.21
9,Texas@Carson,10.105.0.66,10.105.0.68,10.105.0.70
10,Texas@Twin/PostOffice,10.105.0.82,10.105.0.83,10.105.0.86
# 11,Texas@Mitchell,10.105.5.114,10.105.5.115,10.105.5.118
12,Texas@VillaMaria,10.105.0.98,10.105.0.101,10.105.0.103
13,Texas@Elm,10.105.0.226,10.105.0.227,10.105.0.229
14,Texas@SulphurSprings/Eaglepass,10.105.0.130,10.105.0.132,10.105.0.134
# 15,Texas@North/Broadmoor,10.105.0.50,10.105.0.51,10.105.0.53
# 16,Texas@Rosemary,10.105.0.242,10.105.0.243,10.105.0.245
# 17,VillaMaria@WJB,10.105.2.130,10.105.2.131,10.105.2.135
18,VillaMaria@Nash,10.105.2.146,10.105.2.147,10.105.2.148
19,VillaMaria@Blinn&RustlingOaks,10.105.2.178,10.105.2.179,10.105.2.181
20,VillaMaria@Joseph,10.105.2.162,10.105.2.163,10.105.2.165
21,VillaMaria@29th,10.105.1.178,10.105.1.179,10.105.1.182
22,VillaMaria@Briarcrest,10.105.1.146,10.105.1.147,10.105.1.150
23,VillaMaria@Cartercreek,10.105.1.226,10.105.1.227,10.105.1.230
24,VillaMaria@Wayside,10.105.1.162,10.105.1.163,10.105.1.165
25,VillaMaria@Cavitt,10.105.2.98,10.105.2.99,10.105.2.101
26,VillaMaria@College,10.105.2.210,10.105.2.215,10.105.2.216
27,VillaMaria@MidtownPark,10.105.5.18,10.105.5.19,10.105.5.22
28,VillaMaria@Wellborn/Vanhook,10.105.1.82,10.105.1.83,10.105.1.83
29,VillaMaria@2818,10.105.1.66,10.105.1.67,10.105.1.69
30,VillaMaria@Jaguar,10.105.2.242,10.105.2.243,10.105.2.245
31,Boonville@ElmoWeedon/Harvey,10.105.5.2,10.105.5.3,10.105.5.5
32,Boonville@University,10.105.3.210,10.105.3.211,10.105.3.212
33,Boonville@Copperfield,10.105.3.194,10.105.3.195,10.105.3.197
34,Boonville@Woodcrest/Tesori,10.105.3.178,10.105.3.179,10.105.3.181
# 35,Boonville@Miramont,,,
36,Boonville@Briarcrest/FM1179,10.105.3.162,10.105.3.163,10.105.3.166
37,Boonville@AustinsColony,10.105.3.146,10.105.3.151,10.105.3.152
38,WJB@Nash,10.105.2.114,10.105.2.115,10.105.2.116
# 39,WJB@Main/Bryan,10.105.0.18,10.105.0.19,10.105.0.20
40,WJB@Sims,10.105.0.2,10.105.0.3,10.105.0.5
# 41,E29th@CartercreekPkwy,10.105.5.130,10.105.5.131,10.105.5.134
42,E29th@Stillmeadow/BriarOaks,10.105.4.2,10.105.4.3,10.105.4.5
43,E29th@Barak,10.105.1.50,10.105.1.51,10.105.1.54
44,E29th@Briarcrest,10.105.1.34,10.105.1.35,10.105.1.38
45,E29th@Broadmoor,10.105.1.242,10.105.1.243,10.105.1.245
46,E29th@Memorial,10.105.1.18,10.105.1.19,10.105.1.21
# 47,E29th@Joseph,10.105.1.194,10.105.1.195,10.105.1.197
48,E29th@Coulter,10.105.1.2,10.105.1.3,10.105.1.6
# 49,Briarcrest@GreenValley,,,10.105.5.166
50,Briarcrest@Wildflower,10.105.2.34,10.105.2.35,10.105.2.37
51,Briarcrest@Freedom,10.105.1.210,10.105.1.211,10.105.1.213
52,Briarcrest@Oakridge,10.105.2.50,10.105.2.52,10.105.2.53
53,Briarcrest@Campus/CountryClub,10.105.1.98,10.105.1.99,10.105.1.101
54,Briarcrest@Kent,10.105.1.114,10.105.1.115,10.105.1.117
55,Briarcrest@Broadmoor,10.105.1.130,10.105.1.131,10.105.1.133
56,College@North,10.105.4.82,10.105.4.83,10.105.4.86
57,College@OldCollege/Pleasant,10.105.4.34,10.105.4.35,10.105.4.38
58,College@SulpherSprings,10.105.4.66,10.105.4.67,10.105.4.70
# 59,College@Carson,,,
60,College@Dodge,10.105.2.83,10.105.2.84,10.105.2.87
61,2818@SandyPoint,10.105.5.66,10.105.5.67,10.105.5.70
62,2818@Hwy21,10.105.2.66,10.105.2.67,10.105.2.72
63,2818@Beck/Shiloh,10.105.3.50,10.105.3.51,10.105.3.54
64,2818@Leonard,10.105.3.34,10.105.3.35,10.105.3.37
65,Hwy21@MLK,10.105.5.98,10.105.5.99,10.105.5.102
66,Hwy21@WJB/Sandypoint,10.105.3.82,10.105.3.83,10.105.3.87
67,Hwy21@Marino,10.105.4.113,10.105.4.116,10.105.4.118
68,Hwy21@Sims,10.105.4.98,10.105.4.99,10.105.4.102
69,Coulter@CarterCreek/E32,10.105.3.226,10.105.3.227,10.105.3.229
# 70,Finfeather@TurkeyCreek/Carson,10.105.3.18,10.105.3.19,10.105.3.21
# 71,Wellborn@OldCollege/FandB,10.105.2.194,10.105.2.195,10.105.2.198
# 72,OldReliance@AustinsColony,10.105.3.114,10.105.3.115,10.105.3.117
73,Hwy21@Waco/Tabor,10.105.5.34,10.105.5.35,10.105.5.38
# 74,WestboundWJB@Coulter ,,,
# 75,EastboundWJB@Coulter,,,
# 111,Texas6@Briarcrest,,,
# 112,Texas6@WJB,,,
# 113,Texas6@OldReliance,,,
# 114,Texas6@Hwy21,,,
